sample	contig	Gene_symbol	type
K_002	2	tet(A)	AMR
K_002	2	sul2	AMR
K_002	2	aph(3')-Ia	AMR
K_002	2	blaCMY-2	AMR
K_002	7	qnrB19	AMR
K_003	3	aadA22	AMR
K_003	3	lnu(F)	AMR
K_003	8	qnrB19	AMR
K_005	2	tet(A)	AMR
K_005	2	aadA1	AMR
K_005	2	sul2	AMR
K_005	2	floR	AMR
K_005	2	blaCMY-2	AMR
K_005	4	qnrB19	AMR
K_046	2	tet(A)	AMR
K_046	2	sul2	AMR
K_046	6	qnrB19	AMR
K_058	2	aph(3')-Ia	AMR
K_058	2	sul2	AMR
K_058	2	tet(A)	AMR
K_058	2	aph(4)-Ia	AMR
K_058	2	aac(3)-IVa	AMR
K_058	2	aadA22	AMR
K_058	2	lnu(F)	AMR
K_058	2	blaCMY-2	AMR
K_058	5	blaCTX-M-8	AMR
K_058	6	aph(3')-Ia	AMR
K_058	7	blaTEM-1	AMR
K_058	7	dfrA14	AMR
K_058	9	qnrB19	AMR
K_069	3	aph(3')-Ia	AMR
K_069	10	qnrB19	AMR
K_074	16	qnrB19	AMR
K_098	2	aph(3')-Ia	AMR
K_098	2	sul2	AMR
K_098	2	tet(A)	AMR
K_098	2	aph(4)-Ia	AMR
K_098	2	aac(3)-IVa	AMR
K_098	2	aadA22	AMR
K_098	2	lnu(F)	AMR
K_098	2	blaCMY-2	AMR
K_098	3	dfrA14	AMR
K_098	3	blaTEM-1	AMR
K_098	5	qnrB19	AMR
K_105	2	tet(A)	AMR
K_105	2	aadA1	AMR
K_105	2	sul2	AMR
K_105	2	aph(3')-Ia	AMR
K_105	2	blaCMY-2	AMR
K_105	6	qnrB19	AMR
K_117	5	qnrB	AMR
K_123	4	qnrB19	AMR
K_137	2	aph(3')-Ia	AMR
K_137	4	qnrB19	AMR
K_151	2	tet(A)	AMR
K_151	2	sul2	AMR
K_151	2	aph(3')-Ia	AMR
K_151	2	blaCMY-2	AMR
K_151	9	qnrB19	AMR
K_154	3	tet(A)	AMR
K_154	3	aadA1	AMR
K_154	3	sul2	AMR
K_154	3	aph(3')-Ia	AMR
K_154	3	blaCMY-2	AMR
K_154	3	blaCTX-M-8	AMR
K_154	13	qnrB19	AMR
K_157	2	aph(3')-Ia	AMR
K_157	2	sul2	AMR
K_157	2	tet(A)	AMR
K_157	2	blaCTX-M-8	AMR
K_157	2	blaCMY-2	AMR
K_157	6	qnrB19	AMR
K_158	3	aph(3')-Ia	AMR
K_158	12	qnrB19	AMR
K_160_	2	aph(3')-Ia	AMR
K_160_	2	sul2	AMR
K_160_	2	tet(A)	AMR
K_160_	2	blaCMY-2	AMR
K_160_	6	qnrB19	AMR
K_176	10	qnrB19	AMR
K_195	2	aph(3')-Ia	AMR
K_195	2	tet(A)	AMR
K_195	2	sul2	AMR
K_195	2	blaCTX-M-8	AMR
K_195	2	blaCMY-2	AMR
K_195	7	qnrB	AMR
K_229	3	aph(3')-Ia	AMR
K_229	3	sul2	AMR
K_229	3	aadA1	AMR
K_229	3	tet(A)	AMR
K_229	3	blaCMY-2	AMR
K_229	3	blaCTX-M-8	AMR
K_229	10	qnrB19	VF
K_002	2	ybtQ	VF
K_002	2	ybtP	VF
K_005	2	ybtQ	VF
K_005	2	ybtP	VF
K_046	2	ybtP	VF
K_046	2	ybtQ	VF
K_058	2	ybtP	VF
K_058	2	ybtQ	VF
K_069	3	ybtP	VF
K_069	3	ybtQ	VF
K_074	4	ybtP	VF
K_074	4	ybtQ	VF
K_098	2	ybtP	VF
K_098	2	ybtQ	VF
K_105	2	ybtQ	VF
K_105	2	ybtP	VF
K_137	2	ybtP	VF
K_137	2	ybtQ	VF
K_151	2	ybtQ	VF
K_151	2	ybtP	VF
K_154	3	ybtQ	VF
K_154	3	ybtP	VF
K_157	2	ybtP	VF
K_157	2	ybtQ	VF
K_158	3	ybtP	VF
K_158	3	ybtQ	VF
K_160_	2	ybtP	VF
K_160_	2	ybtQ	VF
K_195	2	ybtP	VF
K_195	2	ybtQ	VF
K_229	3	ybtP	VF
K_229	3	ybtQ	VF
